Date,T_Bill,Wilshire_5000,Russell_1000  ,Russell_2000_Value ,Russell_2000_Growth  ,Barclays_US_Bonds,Barclays_IG_Bonds ,Barclays_HY_Bonds,GSCI_Precious_Metals,EAFE_Intl_Index,FTSE_REIT_Index
20131031,0.0017,4.31195,4.40198,3.25028,1.82273,0.3749,1.47866,2.50533,-0.12087,3.36414,4.06142
20131129,0.0032,2.89939,2.80571,3.90207,4.10591,-0.04166,-0.19838,0.50753,-5.99604,0.78278,-4.40916
20131231,0.0023,2.58198,2.69776,1.88493,2.04613,-0.74874,-0.16332,0.53968,-3.77429,1.51197,0.84209
20140131,0.0012,-3.15031,-3.19384,-3.86827,-1.72718,0.82225,1.81243,0.70115,2.52477,-4.01808,3.377
20140228,0.0045,4.6288,4.74658,4.57749,4.83406,0.20771,1.03988,2.02311,7.12284,5.58544,4.68737
20140331,0.0028,0.6954,0.63695,1.23829,-2.46412,-0.39211,0.06641,0.23637,-3.39347,-0.56571,0.32469
20140430,0.0015,0.17184,0.47065,-2.57319,-5.13458,0.36459,1.19788,0.63335,0.45693,1.52904,2.88213
20140530,0.0008,2.18568,2.29792,0.63456,0.96539,0.66501,1.36709,0.91987,-3.71965,1.75625,2.75879
20140630,0.002,2.44594,2.27455,4.42427,6.20494,-0.1251,0.07785,0.83523,6.85582,0.99497,1.17831
20140731,0.0013,-1.85409,-1.61701,-6.04748,-6.05746,-0.25664,-0.05582,-1.33341,-3.06388,-1.95772,-0.19042
20140829,0.0003,4.07878,4.132,4.34668,5.57696,0.61459,1.44237,1.58519,-0.28427,-0.14519,3.38127
20140930,0.0004,-2.02839,-1.7531,-6.74635,-5.35475,-0.3396,-1.44247,-2.09388,-6.67329,-3.8103,-5.63416
20141031,0.0012,2.75819,2.44395,6.98589,6.20326,0.70162,1.02374,1.18904,-3.55419,-1.44876,8.72394
20141128,-0.0001,2.48485,2.61808,-0.4649,0.64522,0.50416,0.67365,-0.72841,-0.17636,1.37222,2.29791
20141231,0.0005,-0.05325,-0.23297,2.73258,2.96594,-0.26024,0.06085,-1.44766,0.68668,-3.43785,1.0914
20150130,0.0013,-2.77208,-2.74674,-4.16239,-2.28302,1.59299,3.03375,0.66069,8.20389,0.4977,5.59471
20150227,-0.0021,5.69685,5.77807,4.64381,7.19659,-0.85938,-1.01329,2.41001,-5.04263,5.98928,-2.58056
